codigo_ocorrencia;codigo_ocorrencia1;codigo_ocorrencia2;codigo_ocorrencia3;codigo_ocorrencia4;ocorrencia_classificacao;ocorrencia_latitude;ocorrencia_longitude;ocorrencia_cidade;ocorrencia_uf;ocorrencia_pais;ocorrencia_aerodromo;ocorrencia_dia;ocorrencia_hora;investigacao_aeronave_liberada;investigacao_status;divulgacao_relatorio_numero;divulgacao_relatorio_publicado;divulgacao_dia_publicacao;total_recomendacoes;total_aeronaves_envolvidas;ocorrencia_saida_pista
52242;52242;52242;52242;52242;INCIDENTE;;;PORTO ALEGRE;RS;BRASIL;SBPA;05/01/2012;20:27:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
45331;45331;45331;45331;45331;ACIDENTE;-234.355.555.556;-464.730.555.556;GUARULHOS;SP;BRASIL;SBGR;06/01/2012;13:44:00;SIM;FINALIZADA;A-582/CENIPA/2014;SIM;01/09/2016;3;1;NÃO
45333;45333;45333;45333;45333;ACIDENTE;***;***;VIAMÃO;RS;BRASIL;****;06/01/2012;13:00:00;NULL;FINALIZADA;A-070/CENIPA/2013;SIM;27/11/2013;0;1;NÃO
45401;45401;45401;45401;45401;ACIDENTE;***;***;SÃO SEBASTIÃO;SP;BRASIL;****;06/01/2012;17:00:00;***;NULL;NULL;NÃO;NULL;0;1;NÃO
45407;45407;45407;45407;45407;ACIDENTE;***;***;SÃO SEPÉ;RS;BRASIL;****;06/01/2012;16:30:00;SIM;FINALIZADA;A-071/CENIPA/2013;SIM;27/11/2013;0;1;NÃO
52243;52243;52243;52243;52243;INCIDENTE;;;UBATUBA;SP;BRASIL;****;06/01/2012;14:30:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
50713;50713;50713;50713;50713;INCIDENTE GRAVE;***;***;CAMPINAS;SP;BRASIL;SDAI;07/01/2012;18:15:00;SIM;FINALIZADA;IG-184/CENIPA/2013;SIM;08/01/2014;0;1;NÃO
45334;45334;45334;45334;45334;INCIDENTE;;;BELÉM;PA;BRASIL;SBBE;08/01/2012;19:12:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
45391;45391;45391;45391;45391;ACIDENTE;-199.133.333.333;-482.930.555.556;CONCEIÇÃO DAS ALAGOAS;MG;BRASIL;****;08/01/2012;16:00:00;***;FINALIZADA;A DEFINIR;NÃO;NULL;0;1;NÃO
52244;52244;52244;52244;52244;INCIDENTE;***;***;UBERLÂNDIA;MG;BRASIL;SBUL;08/01/2012;22:13:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
45332;45332;45332;45332;45332;ACIDENTE;***;***;VIAMÃO;RS;BRASIL;****;09/01/2012;13:30:00;SIM;FINALIZADA;A-072/CENIPA/2013;SIM;27/11/2013;0;1;NÃO
52245;52245;52245;52245;52245;INCIDENTE;;;PORTO ALEGRE;RS;BRASIL;SBPA;09/01/2012;13:36:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
45396;45396;45396;45396;45396;INCIDENTE GRAVE;-53.677.777.778;-491.383.333.333;MARABÁ;PA;BRASIL;SBMA;11/01/2012;11:21:00;SIM;FINALIZADA;IG-508/CENIPA/2017;SIM;02/05/2017;0;1;NÃO
45408;45408;45408;45408;45408;ACIDENTE;-245.888.888.889;-482.113.888.889;ELDORADO;SP;BRASIL;****;11/01/2012;13:45:00;SIM;FINALIZADA;A-509/CENIPA/2021;SIM;08/07/2021;1;1;NÃO
45447;45447;45447;45447;45447;INCIDENTE;;;RIO BRANCO;AC;BRASIL;****;13/01/2012;18:15:00;SIM;FINALIZADA;***;NÃO;NULL;0;1;NÃO
45409;45409;45409;45409;45409;ACIDENTE;-160.388.888.889;-575.958.333.333;CÁCERES;MT;BRASIL;****;14/01/2012;10:00:00;***;FINALIZADA;ENCERRADA NO RAI;NÃO;NULL;0;1;NÃO
45693;45693;45693;45693;45693;INCIDENTE;;;MACAÉ;RJ;BRASIL;****;14/01/2012;10:30:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
52246;52246;52246;52246;52246;INCIDENTE;;;BRASÍLIA;DF;BRASIL;SBBR;16/01/2012;16:47:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
50714;50714;50714;50714;50714;INCIDENTE GRAVE;-28.966.666.667;-408.569.444.444;CAMOCIM;CE;BRASIL;SNWC;17/01/2012;18:25:00;SIM;FINALIZADA;IG-073/CENIPA/2013;SIM;01/10/2014;0;1;NÃO
45399;45399;45399;45399;45399;INCIDENTE GRAVE;-11.966.666.667;-492.675;MUANÁ;PA;BRASIL;****;18/01/2012;17:35:00;SIM;FINALIZADA;IG-074/CENIPA/2013;SIM;15/08/2014;0;1;NÃO
52247;52247;52247;52247;52247;INCIDENTE;;;BELO HORIZONTE;MG;BRASIL;SBPR;18/01/2012;13:10:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
45392;45392;45392;45392;45392;ACIDENTE;-158.197.222.222;-478.747.222.222;BRASÍLIA;DF;BRASIL;****;19/01/2012;21:30:00;SIM;FINALIZADA;A-032/CENIPA/2014;SIM;07/04/2014;2;1;NÃO
45390;45390;45390;45390;45390;ACIDENTE;-184.319.444.444;-494.430.555.556;CACHOEIRA DOURADA;GO;BRASIL;****;20/01/2012;21:00:00;SIM;FINALIZADA;A-598/CENIPA/2014;SIM;01/10/2014;0;1;NÃO
45405;45405;45405;45405;45405;INCIDENTE;;;CUIABÁ;MT;BRASIL;****;20/01/2012;08:00:00;***;FINALIZADA;***;NÃO;NULL;0;1;NÃO
45582;45582;45582;45582;45582;INCIDENTE GRAVE;-165.852.777.778;-547.241.666.667;RONDONÓPOLIS;MT;BRASIL;SWRD;20/01/2012;17:00:00;SIM;FINALIZADA;IG-535/CENIPA/2015;SIM;21/07/2015;0;1;SIM
45400;45400;45400;45400;45400;INCIDENTE GRAVE;***;***;BRASÍLIA;DF;BRASIL;SBBR;21/01/2012;14:50:00;SIM;FINALIZADA;IG-544/CENIPA/2015;SIM;31/03/2017;4;1;NÃO
45410;45410;45410;45410;45410;ACIDENTE;-23.005.278;-46.636.944;BRAGANÇA PAULISTA;SP;BRASIL;SDVH;21/01/2012;23:30:00;***;FINALIZADA;A DEFINIR;NÃO;NULL;0;1;SIM
